"State","District","Crop","Season","Yield-2015-16","Yield-2016-17","Yield-2017-18"
"Odisha","Bargarh","Shree Anna /Nutri Cereals","Total","","600.00",""
"Odisha","Bargarh","Nutri/Coarse Cereals","Kharif","1388.00","1383.00","1405.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Rabi","4400.00","",""
"Odisha","Bargarh","Nutri/Coarse Cereals","Summer","2250.00","440.00","1950.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Total","1438.00","1372.00","1411.00"
"Odisha","Bargarh","Cereals","Kharif","391.00","703.00","175.00"
"Odisha","Bargarh","Cereals","Rabi","1552.00","2248.00","536.00"
"Odisha","Bargarh","Cereals","Summer","4123.00","4409.00","3246.00"
"Odisha","Bargarh","Cereals","Total","1928.00","2436.00","1049.00"
"Odisha","Bargarh","Urad","Kharif","269.00","445.00","305.00"
"Odisha","Bargarh","Urad","Rabi","400.00","","345.00"
"Odisha","Bargarh","Urad","Summer","423.00","596.00","383.00"
"Odisha","Bargarh","Urad","Total","270.00","445.00","306.00"
"Odisha","Bargarh","Moong","Kharif","260.00","449.00","321.00"
"Odisha","Bargarh","Moong","Rabi","267.00","366.00","328.00"
"Odisha","Bargarh","Moong","Summer","301.00","405.00","381.00"
"Odisha","Bargarh","Moong","Total","266.00","446.00","324.00"
"Odisha","Bargarh","Other Pulses","Rabi","276.00","316.00","335.00"
"Odisha","Bargarh","Other Pulses","Total","276.00","316.00","335.00"
"Odisha","Bargarh","Total Pulses","Total","268.00","444.00","318.00"
"Odisha","Bargarh","Total Food Grains","Kharif","361.00","606.00","221.00"
"Odisha","Bargarh","Total Food Grains","Rabi","1548.00","2243.00","535.00"
"Odisha","Bargarh","Total Food Grains","Summer","3999.00","4302.00","3205.00"
"Odisha","Bargarh","Total Food Grains","Total","1815.00","2220.00","984.00"
"Odisha","Bhadrak","Rice","Rabi","2513.00","3102.00","1936.00"
"Odisha","Bhadrak","Rice","Summer","2500.00","2930.00","2603.00"
"Odisha","Bhadrak","Rice","Total","2512.00","3102.00","1942.00"
"Odisha","Bhadrak","Wheat","Summer","1150.00","",""
"Odisha","Bhadrak","Wheat","Total","1150.00","",""
"Odisha","Bhadrak","Cereals","Rabi","2513.00","3102.00","1936.00"
"Odisha","Bhadrak","Cereals","Summer","2497.00","2930.00","2603.00"
"Odisha","Bhadrak","Cereals","Total","2512.00","3102.00","1942.00"
"Odisha","Bhadrak","Urad","Rabi","576.00","533.00","545.00"
"Odisha","Bhadrak","Urad","Summer","544.00","647.00","508.00"
"Odisha","Bhadrak","Urad","Total","570.00","552.00","520.00"
"Odisha","Bhadrak","Moong","Summer","505.00","614.00","514.00"
"Odisha","Bhadrak","Moong","Total","505.00","614.00","514.00"
"Odisha","Bhadrak","Total Pulses","Total","526.00","576.00","517.00"
"Odisha","Bhadrak","Total Food Grains","Rabi","2498.00","3070.00","1932.00"
"Odisha","Bhadrak","Total Food Grains","Summer","1253.00","1037.00","1412.00"
"Odisha","Bhadrak","Total Food Grains","Total","2458.00","3040.00","1921.00"
"Odisha","Boudh","Rice","Kharif","600.00","2108.00","1034.00"
"Odisha","Boudh","Rice","Rabi","945.00","3142.00","1873.00"
"Odisha","Boudh","Rice","Summer","2000.00","3430.00","3519.00"
"Odisha","Boudh","Rice","Total","934.00","3099.00","1844.00"
"Odisha","Boudh","Wheat","Summer","1600.00","900.00",""
"Odisha","Boudh","Wheat","Total","1600.00","900.00",""
"Odisha","Boudh","Maize","Kharif","607.00","786.00","835.00"
"Odisha","Boudh","Maize","Rabi","","130.00",""
"Odisha","Boudh","Maize","Total","607.00","728.00","835.00"
"Odisha","Boudh","Nutri/Coarse Cereals","Kharif","607.00","786.00","835.00"
"Odisha","Boudh","Nutri/Coarse Cereals","Rabi","","130.00",""
"Odisha","Boudh","Nutri/Coarse Cereals","Total","607.00","728.00","835.00"
"Odisha","Boudh","Cereals","Kharif","600.00","2061.00","1030.00"
"Odisha","Boudh","Cereals","Rabi","945.00","3142.00","1873.00"
