"State","District","Crop","Season","Yield-2018-19","Yield-2019-20","Yield-2020-21"
"Odisha","Cuttack","Rice","Total","2691.00","3306.00","2910.00"
"Odisha","Cuttack","Maize","Summer","","","2375.00"
"Odisha","Cuttack","Maize","Total","","","2375.00"
"Odisha","Cuttack","Nutri/Coarse Cereals","Summer","","","2375.00"
"Odisha","Cuttack","Nutri/Coarse Cereals","Total","","","2375.00"
"Odisha","Cuttack","Cereals","Kharif","1613.00","2400.00","2079.00"
"Odisha","Cuttack","Cereals","Rabi","2697.00","3292.00","2889.00"
"Odisha","Cuttack","Cereals","Summer","2808.00","4195.00","3774.00"
"Odisha","Cuttack","Cereals","Total","2691.00","3306.00","2910.00"
"Odisha","Cuttack","Tur","Kharif","","871.00",""
"Odisha","Cuttack","Tur","Total","","871.00",""
"Odisha","Cuttack","Gram","Rabi","","769.00",""
"Odisha","Cuttack","Gram","Total","","769.00",""
"Odisha","Cuttack","Urad","Rabi","460.00","564.00","524.00"
"Odisha","Cuttack","Urad","Summer","409.00","212.00","146.00"
"Odisha","Cuttack","Urad","Total","453.00","511.00","441.00"
"Odisha","Cuttack","Moong","Rabi","301.00","555.00","525.00"
"Odisha","Cuttack","Moong","Summer","465.00","328.00","196.00"
"Odisha","Cuttack","Moong","Total","463.00","349.00","198.00"
"Odisha","Cuttack","Other Pulses","Rabi","547.00","658.00","455.00"
"Odisha","Cuttack","Other Pulses","Total","547.00","658.00","455.00"
"Odisha","Cuttack","Total Pulses","Total","466.00","403.00","246.00"
"Odisha","Cuttack","Total Food Grains","Kharif","1613.00","1370.00","2079.00"
"Odisha","Cuttack","Total Food Grains","Rabi","2628.00","3014.00","2767.00"
"Odisha","Cuttack","Total Food Grains","Summer","555.00","547.00","570.00"
"Odisha","Cuttack","Total Food Grains","Total","2275.00","2481.00","2273.00"
"Odisha","Deogarh","Rice","Kharif","1461.00","1426.00","2138.00"
"Odisha","Deogarh","Rice","Rabi","1794.00","1954.00","2440.00"
"Odisha","Deogarh","Rice","Summer","","","2909.00"
"Odisha","Deogarh","Rice","Total","1705.00","1828.00","2372.00"
"Odisha","Deogarh","Maize","Kharif","1363.00","1697.00","1880.00"
"Odisha","Deogarh","Maize","Rabi","1600.00","",""
"Odisha","Deogarh","Maize","Summer","","2420.00","1555.00"
"Odisha","Deogarh","Maize","Total","1366.00","1716.00","1750.00"
"Odisha","Deogarh","Jowar","Kharif","","667.00",""
"Odisha","Deogarh","Jowar","Total","","667.00",""
"Odisha","Deogarh","Shree Anna /Nutri Cereals","Kharif","","667.00",""
"Odisha","Deogarh","Shree Anna /Nutri Cereals","Total","","667.00",""
"Odisha","Deogarh","Nutri/Coarse Cereals","Kharif","1363.00","1550.00","1880.00"
"Odisha","Deogarh","Nutri/Coarse Cereals","Rabi","1600.00","",""
"Odisha","Deogarh","Nutri/Coarse Cereals","Summer","","2420.00","1555.00"
"Odisha","Deogarh","Nutri/Coarse Cereals","Total","1366.00","1570.00","1750.00"
"Odisha","Deogarh","Cereals","Kharif","1461.00","1428.00","2136.00"
"Odisha","Deogarh","Cereals","Rabi","1794.00","1954.00","2440.00"
"Odisha","Deogarh","Cereals","Summer","","2420.00","2716.00"
"Odisha","Deogarh","Cereals","Total","1705.00","1826.00","2370.00"
"Odisha","Deogarh","Tur","Kharif","","1076.00",""
"Odisha","Deogarh","Tur","Total","","1076.00",""
"Odisha","Deogarh","Gram","Rabi","","700.00",""
"Odisha","Deogarh","Gram","Total","","700.00",""
"Odisha","Deogarh","Urad","Kharif","358.00","258.00","303.00"
"Odisha","Deogarh","Urad","Rabi","317.00","",""
"Odisha","Deogarh","Urad","Summer","","425.00",""
"Odisha","Deogarh","Urad","Total","357.00","279.00","303.00"
"Odisha","Deogarh","Moong","Kharif","324.00","255.00",""
"Odisha","Deogarh","Moong","Rabi","282.00","",""
"Odisha","Deogarh","Moong","Summer","253.00","306.00","245.00"
"Odisha","Deogarh","Moong","Total","276.00","283.00","245.00"
