"State","District","Crop","Season","Yield-2013-14","Yield-2014-15"
"Odisha","Boudh","Total Food Grains","Summer","1533.00","2072.00"
"Odisha","Boudh","Total Food Grains","Total","1697.00","2177.00"
"Odisha","Cuttack","Rice","Kharif","1000.00","2000.00"
"Odisha","Cuttack","Rice","Rabi","1461.00","2508.00"
"Odisha","Cuttack","Rice","Summer","2000.00","3000.00"
"Odisha","Cuttack","Rice","Total","1463.00","2508.00"
"Odisha","Cuttack","Maize","Rabi","1620.00","4600.00"
"Odisha","Cuttack","Maize","Summer","","1300.00"
"Odisha","Cuttack","Maize","Total","1620.00","3500.00"
"Odisha","Cuttack","Nutri/Coarse Cereals","Rabi","1620.00","4600.00"
"Odisha","Cuttack","Nutri/Coarse Cereals","Summer","","1300.00"
"Odisha","Cuttack","Nutri/Coarse Cereals","Total","1620.00","3500.00"
"Odisha","Cuttack","Cereals","Kharif","1000.00","2000.00"
"Odisha","Cuttack","Cereals","Rabi","1461.00","2508.00"
"Odisha","Cuttack","Cereals","Summer","2000.00","2998.00"
"Odisha","Cuttack","Cereals","Total","1463.00","2508.00"
"Odisha","Cuttack","Urad","Rabi","384.00","491.00"
"Odisha","Cuttack","Urad","Summer","440.00","501.00"
"Odisha","Cuttack","Urad","Total","389.00","492.00"
"Odisha","Cuttack","Moong","Rabi","340.00",""
"Odisha","Cuttack","Moong","Summer","360.00","448.00"
"Odisha","Cuttack","Moong","Total","360.00","448.00"
"Odisha","Cuttack","Other Pulses","Rabi","368.00","569.00"
"Odisha","Cuttack","Other Pulses","Summer","511.00","462.00"
"Odisha","Cuttack","Other Pulses","Total","370.00","566.00"
"Odisha","Cuttack","Total Pulses","Total","364.00","457.00"
"Odisha","Cuttack","Total Food Grains","Kharif","1000.00","2000.00"
"Odisha","Cuttack","Total Food Grains","Rabi","1424.00","2433.00"
"Odisha","Cuttack","Total Food Grains","Summer","566.00","538.00"
"Odisha","Cuttack","Total Food Grains","Total","1274.00","2081.00"
"Odisha","Deogarh","Rice","Kharif","1750.00","2350.00"
"Odisha","Deogarh","Rice","Rabi","2706.00","3483.00"
"Odisha","Deogarh","Rice","Summer","2500.00",""
"Odisha","Deogarh","Rice","Total","2404.00","3020.00"
"Odisha","Deogarh","Wheat","Summer","1950.00","1775.00"
"Odisha","Deogarh","Wheat","Total","1950.00","1775.00"
"Odisha","Deogarh","Maize","Kharif","1446.00","1626.00"
"Odisha","Deogarh","Maize","Summer","1514.00","2075.00"
"Odisha","Deogarh","Maize","Total","1457.00","1661.00"
